person,address
1,1559
2,1493
3,795
4,1807
5,1691
6,1517
7,113
8,1497
9,1899
10,1631
11,275
12,811
13,887
14,411
15,1785
16,1355
17,771
18,471
19,255
20,1087
21,1259
22,319
23,1969
24,797
25,451
26,1509
27,463
28,1335
29,53
30,675
31,851
32,1361
33,753
34,669
35,1234
36,403
37,1755
38,1677
39,221
40,603
41,999
42,1641
43,171
44,705
45,572
46,1793
47,239
48,1077
49,875
50,1591
51,682
52,1903
53,472
54,1785
55,1135
56,21
57,743
58,199
59,49
60,979
61,599
62,630
63,1969
64,287
65,1769
66,204
67,414
68,441
69,1107
70,1625
71,795
72,1499
73,1027
74,1620
75,293
76,986
77,165
78,871
79,489
80,521
81,1947
82,343
83,829
84,1365
85,29
86,1093
87,609
88,319
89,39
90,1155
91,1235
92,1223
93,679
94,45
95,1421
96,1637
97,805
98,1667
99,1931
100,89
101,1109
102,605
103,218
104,201
105,71
106,1933
107,347
108,1267
109,855
110,59
111,1887
112,1425
113,1787
114,1743
115,899
116,465
117,1763
118,513
119,1781
120,1539
121,1303
122,1647
123,1957
124,1331
125,1197
126,1096
127,1291
128,577
129,1325
130,1461
131,903
132,1791
133,1439
134,35
135,1685
136,1603
137,1397
138,1891
139,431
140,723
141,161
142,109
143,1114
144,711
145,1663
146,1627
147,233
148,1997
149,1481
150,1362
151,307
152,593
153,207
154,1037
155,159
156,1063
157,699
158,773
159,1467
160,61
161,1679
162,563
163,357
164,325
165,1145
166,1029
167,1207
168,503
169,472
170,1649
171,1177
172,1763
173,1573
174,225
175,1079
176,1621
177,1977
178,245
179,1773
180,1387
181,67
182,349
183,717
184,1275
185,1441
186,281
187,391
188,531
189,389
190,1401
191,673
192,303
193,1727
194,153
195,1525
196,1893
197,1615
198,929
199,1427
200,951
201,937
202,941
203,1761
204,91
205,651
206,1013
207,245
208,1795
209,1951
210,773
211,843
212,801
213,1943
214,1931
215,1593
216,453
217,869
218,465
219,1103
220,933
221,1829
222,181
223,1979
224,938
225,847
226,364
227,1643
228,1115
229,581
230,77
231,335
232,1777
233,977
234,971
235,185
236,259
237,1147
238,295
239,731
240,1287
241,743
242,1601
243,1473
244,1279
245,1375
246,1015
247,495
248,1171
249,1067
250,767
251,1463
252,611
253,979
254,337
255,1059
256,913
257,909
258,491
259,1959
260,1241
261,1661
262,1881
263,513
264,1214
265,573
266,975
267,619
268,1881
269,677
270,1209
271,1047
272,591
273,87
274,1059
275,1577
276,1559
277,1671
278,1745
279,1493
280,221
281,315
282,1193
283,985
284,1871
285,1841
286,709
287,1501
288,1753
289,75
290,1703
291,1995
292,297
293,1469
294,915
295,1765
296,445
297,435
298,1919
299,57
300,1134
301,439
302,1491
303,907
304,189
305,89
306,253
307,1972
