FLIGHT_ID,FLIGHT_DATE,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHED_DEP_TIME,ACT_DEP_TIME,SCHED_ARR_TIME,AIRCRAFT_TYPE
1,20220331,American,AAL-2336,N3KUAA,KLAX,KPBI,0010,0002,0750,B738
2,20220331,American,AAL-258,N3HYAA,KLAX,KMIA,0020,0015,0805,B738
3,20220331,Delta,DAL-806,N3730B,KSFO,KMSP,0025,0020,0602,B738
4,20220331,Spirit,NKS-612,N635NK,KLAS,KMSP,0025,0019,0526,B738
5,20220331,American,AAL-1112,N3LAAA,KSFO,KDFW,0030,0019,0545,B738
6,20220331,Delta,DAL-1173,N826DN,KLAS,KATL,0030,0033,0711,B738
7,20220331,Delta,DAL-2336,N958DN,KDEN,KATL,0030,0024,0523,B738
8,20220331,American,AAL-1674,N853AA,KLAS,KMIA,0035,0027,0803,B738
9,20220331,Delta,DAL-1434,N547US,KLAX,KMSP,0035,0035,0609,B738
10,20220331,Delta,DAL-2324,N3751B,KSLC,KATL,0040,0034,0615,B738
11,20220331,Delta,DAL-2440,N651DL,KSEA,KMSP,0040,0039,0549,B738
12,20220331,Delta,DAL-1560,N3743H,KANC,KSEA,0045,0031,0515,B738
13,20220331,Delta,DAL-1670,N806DN,KPDX,KMSP,0050,0045,0603,B738
14,20220331,Spirit,NKS-520,N525NK,KLAS,KMCI,0055,0120,0537,B738
15,20220331,American,AAL-371,N3GXAA,KSEA,KMIA,0100,0052,0938,B738
16,20220331,Spirit,NKS-214,N632NK,KLAS,KDFW,0103,0102,0530,B738
17,20220331,American,AAL-115,N3CTAA,KLAX,KMIA,0105,0103,0851,B738
18,20220331,Delta,DAL-1450,N671DN,KLAS,KMSP,0105,0102,0608,B738
19,20220331,Spirit,NKS-597,N528NK,KMSP,KFLL,0115,0127,0542,B738
20,20220331,American,AAL-2392,N3HRAA,KDEN,KMIA,0120,0141,0707,B738
21,20220331,Spirit,NKS-168,N629NK,KPHX,KORD,0125,0237,0549,B738
22,20220331,American,AAL-2211,N3CGAA,KPHX,KMIA,0127,0116,0726,B738
23,20220331,Delta,DAL-95,N320US,KSLC,KATL,0140,0134,0715,B738
24,20220331,Spirit,NKS-298,N514NK,KLAS,KIAH,0144,0140,0634,B738
25,20220331,JetBlue,JBU-304,N607JB,KSJU,KJFK,0155,0153,0450,B738
26,20220331,Spirit,NKS-451,N633NK,KPBG,KFLL,0155,0139,0523,B738
27,20220331,Spirit,NKS-972,N606NK,KPHX,KDFW,0159,0158,0502,B738
28,20220331,American,AAL-2459,N3BDAA,KPHX,KDFW,0200,0000,0500,B738
29,20220331,Spirit,NKS-647,N630NK,KIAG,KFLL,0200,0155,0504,B738
30,20220331,JetBlue,JBU-1990,N597JB,KSJU,KEWR,0206,0152,0512,B738
31,20220331,JetBlue,JBU-668,N653JB,KPSE,KMCO,0255,0248,0500,B738
32,20220331,JetBlue,JBU-1030,N239JB,KBQN,KMCO,0307,0304,0500,B738
33,20220331,JetBlue,JBU-262,N627JB,KSJU,KBOS,0330,0316,0635,B738
34,20220331,JetBlue,JBU-2134,N307JB,KSJU,KMCO,0400,0535,0605,B738
35,20220331,JetBlue,JBU-730,N621JB,KBQN,KMCO,0419,0423,0613,B738
36,20220331,JetBlue,JBU-768,N317JB,KPSE,KMCO,0424,0413,0630,B738
37,20220331,JetBlue,JBU-2276,N646JB,KSJU,KBDL,0438,0550,0739,B738
38,20220331,American,AAL-1323,N3CXAA,KMCO,KMIA,0510,0507,0613,B738
39,20220331,Spirit,NKS-103,N616NK,KBOS,KMYR,0510,0506,0730,B738
40,20220331,American,AAL-1057,N3ASAA,KDFW,KMIA,0515,0703,0856,B738
41,20220331,American,AAL-2454,N3ETAA,KBOS,KMIA,0515,0510,0843,B738
